attorney_id,attorney_name,seniority_level,hourly_rate
1,Allison Hill,Associate,209.86584841970367
2,Noah Rhodes,Associate,209.86584841970367
3,Angie Henderson,Counsel,356.50515929852793
4,Daniel Wagner,Senior Associate,263.9493860652042
5,Cristian Santos,Senior Associate,333.24426408004217
6,Connie Lawrence,Senior Associate,311.18528947223797
7,Abigail Shaffer,Associate,209.86584841970367
8,Gina Moore,Associate,246.99098521619942
9,Gabrielle Davis,Partner,496.7566614134116
10,Ryan Munoz,Associate,246.99098521619942
11,Monica Herrera,Associate,210.1115011743209
12,Jamie Arnold,Associate,155.80836121681995
